ticketNo,price,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18,line19,line18,line19,line20,line21,line22,line23,line24,line25,line26,line27,line28,line29,line30,line31,line32
0,0,Colombo Fort,Colombo Fort,Negombo,Colombo Fort,Mawanella,Colombo Fort,Colombo Fort,Colombo Fort,Nawam Mawatha,Negombo,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort,Chilaw,Chilaw,Colombo Fort,Hatton,Colombo Fort,Colombo Fort,Colombo Fort,Kandy,Colombo Fort,Colombo Fort,Colombo Fort,Moratuwa,Colombo Fort,Colombo Fort,Colombo Fort,Colombo Fort
1,28,Maligawatta,Galleface,Thelwatta,Maligawatta,Anwaram,Maligawatta,Maligawatta,Maligawatta,Glass House,Thelwatta,Maligawatta,Galleface,Gamini Hall,Jethawanaramaya Temple,Jethawanaramaya Temple,Jethawanaramaya Temple,Jethawanaramaya Temple,Jethawanaramaya Temple,Merawala,Merawala,Jethawanaramaya Temple,Malliyapu Junction,Maligawatta,Maligawatta,Maligawatta,Mahaiyawa B.M.C Junction,Maligawatta,Maligawatta,Maligawatta,Katubedda,Maligawatta,Maligawatta,Maligawatta,Maligawatta
2,36,Kelanitissa,Kollupitiya,Kuurana,Kelanitissa,Uthuwankanda,Kelanitissa,Kelanitissa,Kelanitissa,Race Course,Kuurana,Kelanitissa,Kollupitiya,Town Hall,Thotalanga,Thotalanga,Thotalanga,Thotalanga,Thotalanga,Kaakkapalliya,Kaakkapalliya,Thotalanga,Dimale,Kelanitissa,Kelanitissa,Kelanitissa,Katugastota,Kelanitissa,Kelanitissa,Kelanitissa,Rathmalana,Kelanitissa,Kelanitissa,Kelanitissa,Kelanitissa
3,47,4th Milepost,Bambalapitiya,20th Milepost,4th Milepost,Mangalagama,4th Milepost,4th Milepost,4th Milepost,Jaawatta,20th Milepost,4th Milepost,Bambalapitiya,Thimbirigasyaya,Peliyagoda,Peliyagoda,Peliyagoda,Peliyagoda,Peliyagoda,Pammbala,Pammbala,Peliyagoda,Woodland Bazaar,4th Milepost,4th Milepost,4th Milepost,4th Lane ,4th Milepost,4th Milepost,4th Milepost,Mt. Lavinia,4th Milepost,4th Milepost,4th Milepost,4th Milepost
4,58,Thorana Handiya,Wellawatta,18th Milepost,Thorana Handiya,Molagoda,Thorana Handiya,Thorana Handiya,Thorana Handiya,Borella,18th Milepost,Thorana Handiya,Wellawatta,Kirulapone,Wattala Postoffice,Wattala Postoffice,Wattala Postoffice,Wattala Postoffice,Wattala Postoffice,Galahitiyawa Handiya,Galahitiyawa Handiya,Wattala Postoffice,Kuilwatte,Thorana Handiya,Thorana Handiya,Thorana Handiya,Ambathenna ,Thorana Handiya,Thorana Handiya,Thorana Handiya,Dehiwala,Thorana Handiya,Thorana Handiya,Thorana Handiya,Thorana Handiya
5,69,University of Kelaniya,Dehiwala,Awariwatta,University of Kelaniya,Karandupotha,University of Kelaniya,University of Kelaniya,University of Kelaniya,Dematagoda,Awariwatta,University of Kelaniya,Dehiwala,Nugegoda,Maabola,Maabola,Maabola,Maabola,Maabola,Madampe,Madampe,Maabola,Rossella,University of Kelaniya,University of Kelaniya,University of Kelaniya,Akurana Town,University of Kelaniya,University of Kelaniya,University of Kelaniya,Wellawatta,University of Kelaniya,University of Kelaniya,University of Kelaniya,University of Kelaniya
6,80,Kiribathgoda,Mt.Lavinia,Naikanda,Kiribathgoda,Meepitiya,Kiribathgoda,Kiribathgoda,Kiribathgoda,Kelanitissa,Naikanda,Kiribathgoda,Mt.Lavinia,Delkanda,Mahabage,Mahabage,Mahabage,Mahabage,Mahabage,Mahawewa,Mahawewa,Mahabage,Watawala Sinhala Vidyalaya,Kiribathgoda,Kiribathgoda,Kiribathgoda,Akurana 7th Milepost,Kiribathgoda,Kiribathgoda,Kiribathgoda,Kirulapone,Kiribathgoda,Kiribathgoda,Kiribathgoda,Kiribathgoda
7,91,Mahara,Rathmalana,Aadiambalama Handiya,Mahara,Kegalle,Mahara,Mahara,Mahara,4th Milepost,Aadiambalama Handiya,Mahara,Rathmalana,Nawinna,Kandana ,Kandana ,Kandana ,Kandana ,Kandana ,Thalwila,Thalwila,Kandana ,Watawala,Mahara,Mahara,Mahara,8th Milepost,Mahara,Mahara,Mahara,Narahenpita,Mahara,Mahara,Mahara,Mahara
8,94,Kadawatha,Katubedda,Peellawatta,Kadawatha,Ranwala Handiya,Kadawatha,Kadawatha,Kadawatha,Thorana Handiya,Peellawatta,Kadawatha,Katubedda,Maharagama,Kapuwatta,Kapuwatta,Kapuwatta,Kapuwatta,Kapuwatta,Marawila,Marawila,Kapuwatta,Karalina,Kadawatha,Kadawatha,Kadawatha,Alawathugoda,Kadawatha,Kadawatha,Kadawatha,Borella,Kadawatha,Kadawatha,Kadawatha,Kadawatha
9,102,Gonahena,Moratuwa,Yatiyana,Gonahena,Ambanpitiya,Gonahena,Gonahena,Gonahena,University of Kelaniya,Yatiyana,Gonahena,Moratuwa,Pannipitiya,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Marawila Hospital,Marawila Hospital,Ja-Ela Bus Stand,Diyagala Junction,Gonahena,Gonahena,Gonahena,Balakaduwa Junction ,Gonahena,Gonahena,Gonahena,Dematagoda,Gonahena,Gonahena,Gonahena,Gonahena
10,109,Indigahamulla,Koralawella,Minuwangoda Bus Stand,Indigahamulla,Galigamuwa,Indigahamulla,Indigahamulla,Indigahamulla,Kiribathgoda,Minuwangoda Bus Stand,Indigahamulla,Koralawella,Kottawa,Thudella,Thudella,Thudella,Thudella,Thudella,Katuneriya,Katuneriya,Thudella,Kadawala Tamil Vidyalaya,Indigahamulla,Indigahamulla,Indigahamulla,Warakamuuna,Indigahamulla,Indigahamulla,Indigahamulla,Kelanitissa,Indigahamulla,Indigahamulla,Indigahamulla,Indigahamulla
11,116,Kirillawala,Egodauyana,Waagowwa Handiya,Kirillawala,Ballapana Handiya,Kirillawala,Kirillawala,Kirillawala,Mahara,Waagowwa Handiya,Kirillawala,Egodauyana,Makumbura,Dandugama,Dandugama,Dandugama,Dandugama,Dandugama,,,Dandugama,Ginigathhena Council,Kirillawala,Kirillawala,Kirillawala,Aelwala Junction,Kirillawala,Kirillawala,Kirillawala,4th Milepost,Kirillawala,Kirillawala,Kirillawala,Kirillawala
12,122,Trackmo Handiya,Aluth Palama,Pamunuwa Handiya,Trackmo Handiya,Siyambalapitiya,Trackmo Handiya,Trackmo Handiya,Trackmo Handiya,Kadawatha,Pamunuwa Handiya,Trackmo Handiya,Aluth Palama,Homagama,Seeduwa,Seeduwa,Seeduwa,Seeduwa,Seeduwa,Wennappuwa,Wennappuwa,Seeduwa,Ginigathhena,Trackmo Handiya,Trackmo Handiya,Trackmo Handiya,Hospital Junction,Trackmo Handiya,Trackmo Handiya,Trackmo Handiya,Thorana Handiya,Trackmo Handiya,Trackmo Handiya,Trackmo Handiya,Trackmo Handiya
13,129,Mudungoda,Panadura,Dewalapola Handiya,Mudungoda,Batapolathanna,Mudungoda,Mudungoda,Mudungoda,Gonahena,Dewalapola Handiya,Mudungoda,Panadura,Panagoda Army Camp,Liyanagemulla,Liyanagemulla,Liyanagemulla,Liyanagemulla,Liyanagemulla,Dummalldeniya,Dummalldeniya,Liyanagemulla,Bagathuluwa Pansala,Mudungoda,Mudungoda,Mudungoda,Mathale,Mudungoda,Mudungoda,Mudungoda,University of Kelaniya,Mudungoda,Mudungoda,Mudungoda,Mudungoda
14,136,Miriswatta,Nalluruwa Handiya,Walpitamulla,Miriswatta,Nelumdeniya,Miriswatta,Miriswatta,Miriswatta,Indigahamulla,Walpitamulla,Miriswatta,Nalluruwa Handiya,Godagama,18th Milepost,18th Milepost,18th Milepost,18th Milepost,18th Milepost,Nainamadama,Nainamadama,18th Milepost,Ambagamuwa Pansala,Miriswatta,Miriswatta,Miriswatta,Alu Viharaya,Miriswatta,Miriswatta,Miriswatta,Kiribathgoda,Miriswatta,Miriswatta,Miriswatta,Miriswatta
15,142,Yakkala,Thalpititya,Naiwala Handiya,Yakkala,Gasnawawatta Handiya,Yakkala,Yakkala,Yakkala,Kirillawala,Naiwala Handiya,Yakkala,Thalpititya,Naduhena,20th Milepost,20th Milepost,20th Milepost,20th Milepost,20th Milepost,Waikkala,Waikkala,20th Milepost,Balanthota Bodhirukkharama Viharaya,Yakkala,Yakkala,Yakkala,Thotagamuwa,Yakkala,Yakkala,Yakkala,Mahara,Yakkala,Yakkala,Yakkala,Yakkala
16,147,Aluthgama,Wadduwa,Wataddara,Aluthgama,Tholangamuwa,Aluthgama,Aluthgama,Aluthgama,Trackmo Handiya,Wataddara,Aluthgama,Wadduwa,Watareka 20th Milepost,Kuurana,Kuurana,Kuurana,Kuurana,Kuurana,Thoopuwa Handiya,Thoopuwa Handiya,Kuurana,Rambukpitiya Maha Vidyalaya,Aluthgama,Aluthgama,Aluthgama,Palapathwala,Aluthgama,Aluthgama,Aluthgama,Kadawatha,Aluthgama,Aluthgama,Aluthgama,Aluthgama
17,154,Kalagedihena,Molligoda,Veyangoda Bus Stand,Kalagedihena,Mahena,Kalagedihena,Kalagedihena,Kalagedihena,Mudungoda,Veyangoda Bus Stand,Kalagedihena,Molligoda,Galagedra Bridge,Thelwatta,Thelwatta,Thelwatta,Thelwatta,Thelwatta,Kochchikade,Kochchikade,Thelwatta,3rd Junction ,Kalagedihena,Kalagedihena,Kalagedihena,Kawatayamuna,Kalagedihena,Kalagedihena,Kalagedihena,Gonahena,Kalagedihena,Kalagedihena,Kalagedihena,Kalagedihena
18,160,Thihariya,Pothupitiya,Udammita,Thihariya,Ambepussa,Thihariya,Thihariya,Thihariya,Miriswatta,Udammita,Thihariya,Pothupitiya,Meepe Handiya,Periyamulla,Periyamulla,Periyamulla,Periyamulla,Periyamulla,Daluwakotuwa,Daluwakotuwa,Periyamulla,Karahandungala Para,Thihariya,Thihariya,Thihariya,Kawudulu Pelella,Thihariya,Thihariya,Thihariya,Indigahamulla,Thihariya,Thihariya,Thihariya,Thihariya
19,167,Nittambuwa Sangabodi,Wadiyamankada,Nittambuwa,Nittambuwa Sangabodi,Warakapola,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Yakkala,Nittambuwa,Nittambuwa Sangabodi,Wadiyamankada,Mawathagama,Dalupatha,Dalupatha,Dalupatha,Dalupatha,Dalupatha,Dalupatha,Dalupatha,Dalupatha,Nawalapitiya,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Mathale North,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Kirillawala,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Nittambuwa Sangabodi,Nittambuwa Sangabodi
20,173,Nittambuwa,Nagashandiya,Kalalpitiya,Nittambuwa,Dummaldeniya,Nittambuwa,Nittambuwa,Nittambuwa,Aluthgama,Kalalpitiya,Nittambuwa,Nagashandiya,Waththekade,Daluwakotuwa,Daluwakotuwa,Daluwakotuwa,Daluwakotuwa,Daluwakotuwa,Periyamulla,Periyamulla,Daluwakotuwa,Nawalapitiya Railway Gate,Nittambuwa,Nittambuwa,Nittambuwa,Madawala Ulpatha,Nittambuwa,Nittambuwa,Nittambuwa,Trackmo Handiya,Nittambuwa,Nittambuwa,Nittambuwa,Nittambuwa
21,180,Kalalpitiya,Kalutara,Pasyala,Kalalpitiya,Danowita,Kalalpitiya,Kalalpitiya,Kalalpitiya,Kalagedihena,Pasyala,Kalalpitiya,Kalutara,Pahathgama,Kochchikade,Kochchikade,Kochchikade,Kochchikade,Kochchikade,Thelwatta,Thelwatta,Kochchikade,Pattunupittya Railway Gate,Kalalpitiya,Kalalpitiya,Kalalpitiya,Koholanwala,Kalalpitiya,Kalalpitiya,Kalalpitiya,Mudungoda,Kalalpitiya,Kalalpitiya,Kalalpitiya,Kalalpitiya
22,185,Pasyala,Katukurunda Handiya,Kajugama,Pasyala,Wewaldeniya,Pasyala,Pasyala,Pasyala,Thihariya,Kajugama,Pasyala,Katukurunda Handiya,Kaluaggala,Thoopuwa Handiya,Thoopuwa Handiya,Thoopuwa Handiya,Thoopuwa Handiya,Thoopuwa Handiya,Kuurana,Kuurana,Thoopuwa Handiya,Pallegama Nandaramaya,Pasyala,Pasyala,Pasyala,Udu Deniya,Pasyala,Pasyala,Pasyala,Miriswatta,Pasyala,Pasyala,Pasyala,Pasyala
23,193,Kajugama,Malegoda,Radawadunna,Kajugama,Radawadunna,Kajugama,Kajugama,Kajugama,Nittambuwa Sangabodi,Radawadunna,Kajugama,Malegoda,Suduwella,Waikkala,Waikkala,Waikkala,Waikkala,Waikkala,20th Milepost,20th Milepost,Waikkala,Ulapane Kadevidiya,Kajugama,Kajugama,Kajugama,Nalanda,Kajugama,Kajugama,Kajugama,Yakkala,Kajugama,Kajugama,Kajugama,Kajugama
24,198,Radawadunna,Payagala,Wewaldeniya,Radawadunna,Kajugama,Radawadunna,Radawadunna,Radawadunna,Nittambuwa,Wewaldeniya,Radawadunna,Payagala,Shaalawa,Nainamadama,Nainamadama,Nainamadama,Nainamadama,Nainamadama,18th Milepost,18th Milepost,Nainamadama,Thambiligalawatta Para,Radawadunna,Radawadunna,Radawadunna,Dumgamwela,Radawadunna,Radawadunna,Radawadunna,Aluthgama,Radawadunna,Radawadunna,Radawadunna,Radawadunna
25,205,Wewaldeniya,Maggona,Danowita,Wewaldeniya,Pasyala,Wewaldeniya,Wewaldeniya,Wewaldeniya,Kalalpitiya,Danowita,Wewaldeniya,Maggona,Kosgama,Dummalldeniya,Dummalldeniya,Dummalldeniya,Dummalldeniya,Dummalldeniya,Liyanagemulla,Liyanagemulla,Dummalldeniya,Lakshapilla,Wewaldeniya,Wewaldeniya,Wewaldeniya,Arangala,Wewaldeniya,Wewaldeniya,Wewaldeniya,Kalagedihena,Wewaldeniya,Wewaldeniya,Wewaldeniya,Wewaldeniya
26,211,Danowita,Polkotuwa,Dummaldeniya,Danowita,Kalalpitiya,Danowita,Danowita,Danowita,Pasyala,Dummaldeniya,Danowita,Polkotuwa,Aluth Ambalama,Wennappuwa,Wennappuwa,Wennappuwa,Wennappuwa,Wennappuwa,Seeduwa,Seeduwa,Wennappuwa,Ethgala Sri Bodhirajaramaya,Danowita,Danowita,Danowita,Naula Bus Stop,Danowita,Danowita,Danowita,Thihariya,Danowita,Danowita,Danowita,Danowita
27,218,Dummaldeniya,Beruwala,Warakapola,Dummaldeniya,Nittambuwa,Dummaldeniya,Dummaldeniya,Dummaldeniya,Kajugama,Warakapola,Dummaldeniya,Beruwala,Hingurala,,,,,,Dandugama,Dandugama,,Mariyawattha Kadevidiya,Dummaldeniya,Dummaldeniya,Dummaldeniya,Modella Primary School,Dummaldeniya,Dummaldeniya,Dummaldeniya,Nittambuwa Sangabodi,Dummaldeniya,Dummaldeniya,Dummaldeniya,Dummaldeniya
28,223,Warakapola,Hettimulla Handiya,Ambepussa,Warakapola,Nittambuwa Sangabodi,Warakapola,Warakapola,Warakapola,Radawadunna,Ambepussa,Warakapola,Hettimulla Handiya,Puwakpitiya,Katuneriya,Katuneriya,Katuneriya,Katuneriya,Katuneriya,Thudella,Thudella,Katuneriya,Gampola,Warakapola,Warakapola,Warakapola,Mahaweli Junction,Warakapola,Warakapola,Warakapola,Nittambuwa,Warakapola,Warakapola,Warakapola,Warakapola
29,231,Ambepussa,Moragalla,Mahena,Ambepussa,Thihariya,Ambepussa,Ganithapura,Ganithapura,Wewaldeniya,Mahena,Ambepussa,Moragalla,Ukkwatta,Marawila Hospital,Marawila Hospital,Marawila Hospital,Marawila Hospital,Marawila Hospital,Ja-Ela Bus Stand,Ja-Ela Bus Stand,Marawila Hospital,Bothalapitiya,Ambepussa,Ambepussa,Ambepussa,Lenadora Maliyadeva Viharaya,Ambepussa,Ambepussa,Ambepussa,Kalalpitiya,Ambepussa,Ambepussa,Ambepussa,Ambepussa
30,238,Mahena,Aluthgama,Tholangamuwa,Mahena,Kalagedihena,Mahena,Thalliyadda,Thalliyadda,Danowita,Tholangamuwa,Mahena,Aluthgama,Awissawella,Marawila,Marawila,Marawila,Marawila,Marawila,Kapuwatta,Kapuwatta,Marawila,Galagediyaawa,Mahena,Mahena,Mahena,Pannampitiya Vidyalaya,Naangalla,Naangalla,Naangalla,Pasyala,Naangalla,Naangalla,Naangalla,Mahena
31,243,Tholangamuwa,Benthota,Gasnawawatta Handiya,Tholangamuwa,Aluthgama,Tholangamuwa,Koongoda Handiya,Dorawaka,Dummaldeniya,Gasnawawatta Handiya,Tholangamuwa,Benthota,Maadola,Thalwila,Thalwila,Thalwila,Thalwila,Thalwila,Kandana,Kandana,Thalwila,Waeligalla,Tholangamuwa,Tholangamuwa,Tholangamuwa,40th Milepost,Thulhiriya,Thulhiriya,Thulhiriya,Kajugama,Thulhiriya,Thulhiriya,Thulhiriya,Tholangamuwa
32,251,Gasnawawatta Handiya,Warahena,Nelumdeniya,Gasnawawatta Handiya,Yakkala,Gasnawawatta Handiya,Niyadurupola,Galamuna Wele Kade,Warakapola,Nelumdeniya,Gasnawawatta Handiya,Warahena,Dehigahapitiya,Mahawewa,Mahawewa,Mahawewa,Mahawewa,Mahawewa,Mahabage,Mahabage,Mahawewa,Gelioya,Gasnawawatta Handiya,Gasnawawatta Handiya,Gasnawawatta Handiya,Dhambulu Oya,Alawwa Handiya,Alawwa Handiya,Alawwa Handiya,Radawadunna,Alawwa Handiya,Alawwa Handiya,Alawwa Handiya,Gasnawawatta Handiya
33,256,Nelumdeniya,Induruwa,Batapolathanna ,Nelumdeniya,Miriswatta,Nelumdeniya,Hallawa,Kohombadeniya School Halt,Ambepussa,Batapolathanna ,Nelumdeniya,Induruwa,Gatahaththa,Madampe,Madampe,Madampe,Madampe,Madampe,Maabola,Maabola,Madampe,Kossinna,Nelumdeniya,Nelumdeniya,Nelumdeniya,Kapuwattha,Alawwa,Alawwa,Alawwa,Wewaldeniya,Alawwa,Alawwa,Alawwa,Nelumdeniya
34,263,Batapolathanna ,Maha Induruwa,Siyambalapitiya,Batapolathanna ,Mudungoda,Batapolathanna ,Galapitamada,Manikkadawara,Mahena,Siyambalapitiya,Batapolathanna ,Maha Induruwa,Minnana,Galahitiyawa Handiya,Galahitiyawa Handiya,Galahitiyawa Handiya,Galahitiyawa Handiya,Galahitiyawa Handiya,Wattala Postoffice,Wattala Postoffice,Galahitiyawa Handiya,Angunawala,Batapolathanna ,Batapolathanna ,Batapolathanna ,Vihara Junction,Kapuwarala,Kapuwarala,Kapuwarala,Danowita,Kapuwarala,Kapuwarala,Kapuwarala,Batapolathanna 
35,269,Siyambalapitiya,Duuwa Modara,Ballapana Handiya,Siyambalapitiya,Trackmo Handiya,Siyambalapitiya,,Imbulowita,Tholangamuwa,Ballapana Handiya,Siyambalapitiya,Duuwa Modara,Thoranakada,Pammbala,Pammbala,Pammbala,Pammbala,Pammbala,Peliyagoda,Peliyagoda,Pammbala,Peradeniya,Siyambalapitiya,Siyambalapitiya,Siyambalapitiya,Dambulla,Walakumbura,Walakumbura,Walakumbura,Dummaldeniya,Walakumbura,Walakumbura,Walakumbura,Siyambalapitiya
36,276,Ballapana Handiya,Kosgoda,Galigamuwa,Ballapana Handiya,Kirillawala,Ballapana Handiya,,,Gasnawawatta Handiya,Galigamuwa,Ballapana Handiya,Kosgoda,Mooragala Handiya,Kaakkapalliya,Kaakkapalliya,Kaakkapalliya,Kaakkapalliya,Kaakkapalliya,Kelanitissa,Kelanitissa,Kaakkapalliya,Gatambe,Ballapana Handiya,Ballapana Handiya,Ballapana Handiya,Mirisgoniyawa,Morawalapitiya,Morawalapitiya,Morawalapitiya,Warakapola,Morawalapitiya,Morawalapitiya,Morawalapitiya,Ballapana Handiya
37,282,Galigamuwa,Ahungalla,Ambanpitiya,Galigamuwa,Indigahamulla,Galigamuwa,,,Nelumdeniya,Ambanpitiya,Galigamuwa,Ahungalla,Eheliyagoda,Merawala,Merawala,Merawala,Merawala,Merawala,Dematagoda,Dematagoda,Merawala,Mulgampola,Galigamuwa,Galigamuwa,Galigamuwa,Pelwahara Seed Farm,Polgahawela,Polgahawela,Polgahawela,Ambepussa,Polgahawela,Polgahawela,Polgahawela,Galigamuwa
38,289,Ambanpitiya,Pathegama,Ranwala Handiya,Ambanpitiya,Gonahena,Ambanpitiya,,,Batapolathanna ,Ranwala Handiya,Ambanpitiya,Pathegama,Maahingoda,Chilaw,Chilaw,Chilaw,Chilaw,Chilaw,Borella,Borella,Chilaw,Kandy,Ambanpitiya,Ambanpitiya,Ambanpitiya,Pelwahara Junior School,Godawela,Godawela,Godawela,Naangalla,Godawela,Godawela,Godawela,Ambanpitiya
39,294,Ranwala Handiya,Balapitiya,Kegalle,Ranwala Handiya,Kadawatha,Ranwala Handiya,,,Siyambalapitiya,Kegalle,Ranwala Handiya,Balapitiya,Thalaawitiya,Thembilla Moola,Thembilla Moola,Thembilla Moola,Thembilla Moola,Thembilla Moola,Rajagiriya,Narahenpita,Thembilla Moola,Mahaiyawa B.M.C Junction,Ranwala Handiya,Ranwala Handiya,Ranwala Handiya,Rotarigama,Kahawatte Ela,Kahawatte Ela,Kahawatte Ela,Thulhiriya,Kahawatte Ela,Kahawatte Ela,Kahawatte Ela,Ranwala Handiya
40,301,Kegalle,Balapitiya Hospital,,Kegalle,Mahara,Kegalle,,,Ballapana Handiya,Meepitiya,Kegalle,Balapitiya Hospital,Bodhi Maluwa,Deduruoya Bridge,Deduruoya Bridge,Deduruoya Bridge,Deduruoya Bridge,Deduruoya Bridge,Ethul Kotte Junction,,Deduruoya Bridge,Katugastota,Kegalle,Kegalle,Kegalle,Inaamaluwa,Hondella,Hondella,Hondella,Alawwa Handiya,Hondella,Hondella,Hondella,Kegalle
41,307,Meepitiya,Randoba,,Ashokaramaya,Kiribathgoda,Meepitiya,,,Galigamuwa,Karandupotha,Meepitiya,Randoba,Parakaduwa,Bangadeniya Handiya,Bangadeniya Handiya,Bangadeniya Handiya,Bangadeniya Handiya,Bangadeniya Handiya,Baththaramulla,,Bangadeniya Handiya,4th Lane ,Meepitiya,Meepitiya,Meepitiya,,Bulugolla,Bulugolla,Bulugolla,Alawwa,Bulugolla,Bulugolla,Bulugolla,Meepitiya
