ticketNo,price,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18,line19,line18,line19,line20,line21,line22,line23,line24,line25,line26,line27,line28,line29,line30,line31,line32
103,699,,,,,,,,,,,,,,Saaliyapura Army Camp,Saaliyapura Army Camp,Saaliyapura Army Camp,,,,,Saaliyapura Army Camp,Thapowanaya,Hasalaka,Hasalaka,Hasalaka,,CP Pura,Nachchaduwa Handiya,Siyambalagaswewa,Wanamal Uyana,Siyambalagaswewa,Siyambalagaswewa,Ihalawewa ,
104,705,,,,,,,,,,,,,,Maankadawala,Maankadawala,Maankadawala,,,,,Maankadawala,Mihintale,Pallewatta School Halt,Pallewatta School Halt,Pallewatta School Halt,,Giritale Tank,Kawarakkulama Handiya,Wewaldigiliya Handiya,Kandupagama Handiya,Wewaldigiliya Handiya,Wewaldigiliya Handiya,Kiralogama,
105,712,,,,,,,,,,,,,,Parasangahawewa,Parasangahawewa,Parasangahawewa,,,,,Parasangahawewa,University of Rajarata Hostel,Paalam Handiya,Paalam Handiya,Paalam Handiya,,Giritale Gam School,Kaleththewa ,128KM Post,Alisthaana,128KM Post,128KM Post,,
106,717,,,,,,,,,,,,,,Gooneewa Handiya,Gooneewa Handiya,Gooneewa Handiya,,,,,Gooneewa Handiya,Doramadalawa Handiya,Mahiyanganaya,Mahiyanganaya,Mahiyanganaya,,Jayanthipura Junction,Kurundankulama,Thapowanaya,Thirappane,Thapowanaya,Thapowanaya,Batuwatta,
107,725,,,,,,,,,,,,,,Rambawewa,Rambawewa,Rambawewa,,,,,Rambawewa,Yaya 2 Handiya,Mahiyanganaya Hospital,Ashokaramaya,Mahiyanganaya Hospital,,Nikawewa,,Mihintale,117KM Post,Mihintale,Mihintale,Talawa,
108,730,,,,,,,,,,,,,,Rambewa,Rambewa,Rambewa,,,,,Rambewa,Walekade Handiya,Dambarawa School Halt,2 Handiya Bridge,Dambarawa School Halt,,Badiwewa,,University of Rajarata Hostel,Gdhanikkulama,University of Rajarata Hostel,University of Rajarata Hostel,Moragoda,
109,737,,,,,,,,,,,,,,Weelioya Handiya,Weelioya Handiya,Weelioya Handiya,,,,,Weelioya Handiya,Rambewa,,Thalangamuwa Handiya,,,Gal Viharaya Junction,Yapanaya Handiya,Doramadalawa Handiya,,Doramadalawa Handiya,Doramadalawa Handiya,New Water Tank,
110,743,,,,,,,,,,,,,,Ikirigollewa,Ikirigollewa,Ikirigollewa,,,,,Ikirigollewa,Weelioya Handiya,,Nidangala,,,Polonnaruwa,Anuradhapura Old Bus Stand,Yaya 2 Handiya,Galkulama 2,Yaya 2 Handiya,Yaya 2 Handiya,Aluthwewa,
111,750,,,,,,,,,,,,,,Wahamalugollewa,Wahamalugollewa,Wahamalugollewa,,,,,Wahamalugollewa,Ikirigollewa,Maapankada,Aluththarama,Maapankada,,,Anuradhapura New Bus Stand,Walekade Handiya,Siyambalagaswewa,Walekade Handiya,Walekade Handiya,Shrawasthipura,
112,756,,,,,,,,,,,,,,Sangilikanadarawa,Sangilikanadarawa,Sangilikanadarawa,,,,,Sangilikanadarawa,Wahamalugollewa,,Bathalayaya Handiya,,,,,Rambewa,Wewaldigiliya Handiya,Rambewa,Rambewa,Pahe Ela,
113,763,,,,,,,,,,,,,,Medawachchiya,Medawachchiya,Medawachchiya,,,,,Medawachchiya,Sangilikanadarawa,Mada Yaya,Giraalagolla,Mada Yaya,,,,Weelioya Handiya,128KM Post,Weelioya Handiya,Weelioya Handiya,Kurunegala Junction,
114,768,,,,,,,,,,,,,,Medawachchiya Bus Stand,Medawachchiya Bus Stand,Medawachchiya Bus Stand,,,,,Medawachchiya Bus Stand,Medawachchiya,,Mallaththawa School Halt,,,,,Ikirigollewa,Thapowanaya,Ikirigollewa,Ikirigollewa,Anuradhapura Old Bus Stand,
115,776,,,,,,,,,,,,,,,,Kebithigollewa Junction,,,,,Kebithigollewa Junction,Medawachchiya Bus Stand,Aanda Ulpatha,Girandurukotte,Aanda Ulpatha,,,,Wahamalugollewa,Mihintale,Wahamalugollewa,Wahamalugollewa,Anuradhapura New Bus Stand,
116,781,,,,,,,,,,,,,,Medawachchiya Railway Station,Medawachchiya Railway Station,Ihalathammannwa,,,,,Ihalathammannwa,Kebithigollewa Junction,,Hobariyawa,Bubula,,,,Sangilikanadarawa,University of Rajarata Hostel,Sangilikanadarawa,Sangilikanadarawa,Yaapanaya Handiya,
117,788,,,,,,,,,,,,,,Kadawathgama,Kadawathgama,3KM Post,,,,,3KM Post,Isinbessagala,Uuraniya Hospital,Belaganwewa Handiya,Kuruwitanna School Halt,,,,Medawachchiya,Doramadalawa Handiya,Medawachchiya,Medawachchiya,2nd Milepost,
118,794,,,,,,,,,,,,,,7KM Post,7KM Post,Mahadiwulwewa,,,,,Mahadiwulwewa,Pillayar Kovil,Ridimaliyadda,Theldeniyaya Handiya,Dambagahapitiya,,,,Medawachchiya Bus Stand,Yaya 2 Handiya,Medawachchiya Bus Stand,Medawachchiya Bus Stand,Saaliyapura Army Camp,
119,799,,,,,,,,,,,,,,Rambakulama ,Rambakulama ,Ateweeragollewa,,,,,Ateweeragollewa,Navy Camp,Kandegama,Diyawiddagama Handiya,,,,,Kebithigollewa Junction,Walekade Handiya,,Kebithigollewa Junction,Maankadawala,
120,806,,,,,,,,,,,,,,Yakawewa,Yakawewa,Kumbukgollewa,,,,,Kumbukgollewa,Poonewa,,Nawa Madagama,Puunage River,,,,Isinbessagala,Rambewa,Medawachchiya Railway Station,Isinbessagala,Parasangahawewa,
121,812,,,,,,,,,,,,,,Peekupu Idam,Peekupu Idam,Athaakada,,,,,Athaakada,Siyambalagaswewa 2,Haapola Handiya,Kudagama,Elapara Handiya,,,,Pillayar Kovil,Weelioya Handiya,Kadawathgama,Pillayar Kovil,Gooneewa Handiya,
122,819,,,,,,,,,,,,,,Maankulam,Maankulam,14th Milepost,,,,,14th Milepost,Mahakumbukgollewa,Malllahawa Handiya,Kudaoya Bridge,Buddankotte,,,,Navy Camp,Ikirigollewa,7KM Post,Navy Camp,Rambawewa,
123,825,,,,,,,,,,,,,,Neriyakulam,Neriyakulam,Irallugama Handiya,,,,,Irallugama Handiya,Galkandegama 2,,,,,,,Poonewa,Wahamalugollewa,Rambakulama ,Poonewa,Rambewa,
124,832,,,,,,,,,,,,,,Thanthirimale Junction,Thanthirimale Junction,18th Milepost,,,,,18th Milepost,Galkundamadu Handiya,Waagama,Sandunpura Army Camp,Karamatiya Ayurweda Hospital,,,,Siyambalagaswewa 2,Sangilikanadarawa,Yakawewa,Siyambalagaswewa 2,Weelioya Handiya,
125,837,,,,,,,,,,,,,,Mudaliyaarkulam,Mudaliyaarkulam,Goonamariyawa,,,,,Goonamariyawa,Irattiperiyamkulama,,Damunnaruwa Bridge,Karamatiya,,,,Mahakumbukgollewa,Medawachchiya,Peekupu Idam,Mahakumbukgollewa,Ikirigollewa,
126,845,,,,,,,,,,,,,,Muhaththaankulam,Muhaththaankulam,22nd Milepost,,,,,22nd Milepost,Muundruiyrippu,Bibila,Muwagammana Bridge,Balagolla School Halt,,,,Galkandegama 2,Medawachchiya Bus Stand,Maankulam,Galkandegama 2,Wahamalugollewa,
127,850,,,,,,,,,,,,,,Cheddikulam,Cheddikulam,24th Milepost,,,,,24th Milepost,Vavuniya,,Dehiattakandiya,Balagolla ,,,,Galkundamadu Handiya,Kebithigollewa Junction,Neriyakulam,Galkundamadu Handiya,Sangilikanadarawa,
128,857,,,,,,,,,,,,,,27KM Post,27KM Post,Kebithigollewa,,,,,Kebithigollewa,Department of Agriculture,Naagala Temple,,Aarawa Handiya,,,,Irattiperiyamkulama,Isinbessagala,Thanthirimale Junction,Irattiperiyamkulama,Medawachchiya,
129,863,,,,,,,,,,,,,,Kallarupalama,Kallarupalama,Ihalagama Handiya,,,,,Ihalagama Handiya,Thaandikulam,Buudolu Oya,,Meegahakiula,,,,Muundruiyrippu,Pillayar Kovil,Mudaliyaarkulam,Muundruiyrippu,Medawachchiya Bus Stand,
130,870,,,,,,,,,,,,,,32KM Post,32KM Post,Galkandegama,,,,,Galkandegama,Kokeliya Gammana Para,Pokunnehewa Temple,,,,,,Vavuniya,Navy Camp,Muhaththaankulam,Vavuniya,Kebithigollewa Junction,
131,875,,,,,,,,,,,,,,Andiyapuliyankulam,Andiyapuliyankulam,Mahanatiyawa,,,,,Mahanatiyawa,Pudiya Sinnakulam Junction,Wila Athigoda Temple,,,,,,Department of Agriculture,Poonewa,Cheddikulam,Department of Agriculture,Ihalathammannwa,
132,883,,,,,,,,,,,,,,Uuthadi,Uuthadi,Galawewa,,,,,Galawewa,Omanthai 187KM Post,Pitakumbura,,,,,,Thaandikulam,Siyambalagaswewa 2,27KM Post,Thaandikulam,3KM Post,
133,888,,,,,,,,,,,,,,Periyakaaddu,Periyakaaddu,Thiththagoonewa Handiya,,,,,Thiththagoonewa Handiya,Omanthai Co-Op,,,,,,,Kokeliya Gammana Para,Mahakumbukgollewa,Kallarupalama,Kokeliya Gammana Para,Mahadiwulwewa,
134,895,,,,,,,,,,,,,,41KM Post,41KM Post,Thammannawa,,,,,Thammannawa,Omanthai Madya Maha Vidyalaya,,,,,,,Pudiya Sinnakulam Junction,Galkandegama 2,32KM Post,Pudiya Sinnakulam Junction,Ateweeragollewa,
135,901,,,,,,,,,,,,,,Parayanaarankulam,Parayanaarankulam,,,,,,,Omanthai Checkpoint,Serawa School Halt,,,,,,Omanthai 187KM Post,Galkundamadu Handiya,Andiyapuliyankulam,Omanthai 187KM Post,Kumbukgollewa,
136,908,,,,,,,,,,,,,,Kunchikulam Junction,Kunchikulam Junction,Herath Halmillewa,,,,,Herath Halmillewa,194KM Post,Peerana Handiya,,,,,,Omanthai Co-Op,Irattiperiyamkulama,Uuthadi,Omanthai Co-Op,Athaakada,
137,914,,,,,,,,,,,,,,Madu Road,Madu Road,Kahatagollewa,,,,,Kahatagollewa,Pandikeyidakulam,,,,,,,Omanthai Madya Maha Vidyalaya,Muundruiyrippu,Periyakaaddu,Omanthai Madya Maha Vidyalaya,14th Milepost,
138,921,,,,,,,,,,,,,,49KM Post,49KM Post,Galpiyuma,,,,,Galpiyuma,Puliyankulam Filling Station,Gamanawa Temple,,,,,,Omanthai Checkpoint,Vavuniya,41KM Post,Omanthai Checkpoint,Irallugama Handiya,
139,926,,,,,,,,,,,,,,Kaddei Adampei,Kaddei Adampei,,,,,,,Puliyankulam 200KM Post,Bulupitiya,,,,,,194KM Post,Department of Agriculture,Parayanaarankulam,194KM Post,18th Milepost,
140,932,,,,,,,,,,,,,,Pannawadduwaan,Pannawadduwaan,Bellan kadawala,,,,,Bellan kadawala,Puliyankulam (Nadunkeerthi Rd),Karaabugala,,,,,,Pandikeyidakulam,Thaandikulam,Kunchikulam Junction,Pandikeyidakulam,Goonamariyawa,
141,939,,,,,,,,,,,,,,,,,,,,,,Murandu Murippukulam,Maakada Kanda,,,,,,Puliyankulam Filling Station,Kokeliya Gammana Para,Madu Road,Puliyankulam Filling Station,22nd Milepost,
142,944,,,,,,,,,,,,,,Galkadandakulam,Galkadandakulam,Aluth Halmillewa,,,,,Boralu Kanda,Parasankulam,,,,,,,Puliyankulam 200KM Post,Pudiya Sinnakulam Junction,49KM Post,Puliyankulam 200KM Post,24th Milepost,
143,952,,,,,,,,,,,,,,Murunkan,Murunkan,Ruwanpura,,,,,Padaviya Junction,Puduwuur Junction,Ranthurugala Temple,,,,,,Puliyankulam (Nadunkeerthi Rd),Omanthai 187KM Post,Kaddei Adampei,Puliyankulam (Nadunkeerthi Rd),Kebithigollewa,
144,957,,,,,,,,,,,,,,Semmantheew,Semmantheew,Sorowwa Junction,,,,,A Yaya,Kanagaraajakulam Kovil,Ranthurugala Clinic,,,,,,Murandu Murippukulam,Omanthai Co-Op,Pannawadduwaan,Murandu Murippukulam,Ihalagama Handiya,
145,964,,,,,,,,,,,,,,Agathikaali Junction,Agathikaali Junction,Mahasenpura,,,,,B Yaya,Kanagaraajakulam Madya Vidyalaya,Galgamuwa Temple,,,,,,Parasankulam,Omanthai Madya Maha Vidyalaya,,Parasankulam,Galkandegama,
146,970,,,,,,,,,,,,,,Uyintharaasankulam,Uyintharaasankulam,6th Milepost,,,,,Wellangas Junction,Kanagaraajakulam Health Center,Mullegama Purana Viharaya,,,,,,Puduwuur Junction,Omanthai Checkpoint,Galkadandakulam,Puduwuur Junction,Mahanatiyawa,
147,977,,,,,,,,,,,,,,Parappannkandal,Parappannkandal,Old Medawachchiya ,,,,,,Periyakulam Tamil Madya Vidyalaya,Rathmalagaha Ella,,,,,,Kanagaraajakulam Kovil,194KM Post,Murunkan,Kanagaraajakulam Kovil,Galawewa,
148,983,,,,,,,,,,,,,,Uyilankulam,Uyilankulam,Eramaduwewa,,,,,Parakramapura,Mannakulam Junction,Mullegama,,,,,,Kanagaraajakulam Madya Vidyalaya,Pandikeyidakulam,Semmantheew,Kanagaraajakulam Madya Vidyalaya,Thiththagoonewa Handiya,
149,990,,,,,,,,,,,,,,Nochchikulam,Nochchikulam,10th Milepost,,,,,Maithree Mawatha,Telecommunication Tower,,,,,,,Kanagaraajakulam Health Center,Puliyankulam Filling Station,Agathikaali Junction,Kanagaraajakulam Health Center,Thammannawa,
150,995,,,,,,,,,,,,,,Seerunawalkulam,Seerunawalkulam,,,,,,Thonigala,Kunchikulam 221KM Post,,,,,,,Periyakulam Tamil Madya Vidyalaya,Puliyankulam 200KM Post,Uyintharaasankulam,Periyakulam Tamil Madya Vidyalaya,,
151,1003,,,,,,,,,,,,,,Thiruketheeswaram,Thiruketheeswaram,Shaanthipura,,,,,Galkulama,Maankulam (Mullaitivu Rd),,,,,,,Mannakulam Junction,Puliyankulam (Nadunkeerthi Rd),Parappannkandal,Mannakulam Junction,Herath Halmillewa,
152,1008,,,,,,,,,,,,,,Mullapallawi,Mullapallawi,,,,,,Galkulama Junction,Maankulam Madya Vidyalaya,,,,,,,Telecommunication Tower,Murandu Murippukulam,Uyilankulam,Telecommunication Tower,Kahatagollewa,
153,1015,,,,,,,,,,,,,,Waankaalei Junction,Waankaalei Junction,,,,,,Palugas Junction,,,,,,,,Kunchikulam 221KM Post,Parasankulam,Nochchikulam,Kunchikulam 221KM Post,Galpiyuma,
154,1021,,,,,,,,,,,,,,Thaladi Junction,Thaladi Junction,Pulmoddai Police,,,,,Sri Pura,Panikkaankulam Tamil Madya Vidyalaya,Pitawaana,,,,,,Maankulam (Mullaitivu Rd),Puduwuur Junction,Seerunawalkulam,Maankulam (Mullaitivu Rd),,
155,1028,,,,,,,,,,,,,,83KM Post,83KM Post,Pulmoddai,,,,,,,Namal Oya,,,,,,Maankulam Madya Vidyalaya,Kanagaraajakulam Kovil,Thiruketheeswaram,Maankulam Madya Vidyalaya,Bellan kadawala,
156,1033,,,,,,,,,,,,,,Mannar,Mannar,,,,,,,,Namal Oya Junction,,,,,,,Kanagaraajakulam Madya Vidyalaya,Mullapallawi,,,
157,1041,,,,,,,,,,,,,,,Periyakaamam,,,,,,,,Namalthalawa,,,,,,Panikkaankulam Tamil Madya Vidyalaya,Kanagaraajakulam Health Center,Waankaalei Junction,Panikkaankulam Tamil Madya Vidyalaya,Boralu Kanda,
158,1046,,,,,,,,,,,,,,,89KM Post,,,,,,,Palayamurugandi Kovil,Galwanguwa,,,,,,,Periyakulam Tamil Madya Vidyalaya,Thaladi Junction,,Padaviya Junction,
159,1053,,,,,,,,,,,,,,,Tharapuram Junction,,,,,,,,,,,,,,,Mannakulam Junction,83KM Post,,A Yaya,
160,1059,,,,,,,,,,,,,,,Erikkulampitiya Junction,,,,,,,Kokavil,Pollwatta Handiya,,,,,,,Telecommunication Tower,Mannar,,B Yaya,
161,1066,,,,,,,,,,,,,,,Puthukkudiyiruppu,,,,,,,,Cattle Farm,,,,,,Palayamurugandi Kovil,Kunchikulam 221KM Post,,Palayamurugandi Kovil,Wellangas Junction,
162,1072,,,,,,,,,,,,,,,Olaiththoduvai Junction,,,,,,,Murugandi Kovil,Wawinna,,,,,,,Maankulam (Mullaitivu Rd),,,,
163,1077,,,,,,,,,,,,,,,Karaisal,,,,,,,Faculty of Agriculture,Paragahakale,,,,,,Kokavil,Maankulam Madya Vidyalaya,,Kokavil,Parakramapura,
164,1084,,,,,,,,,,,,,,,Siruththoppu,,,,,,,Iranamadu Junction,Boogas Handiya,,,,,,,,,,Track 6,
165,1090,,,,,,,,,,,,,,,Pesalai,,,,,,,Kilinochchi,Kondawattawaan Camp,,,,,,Murugandi Kovil,Panikkaankulam Tamil Madya Vidyalaya,,Murugandi Kovil,Welioya Army Camp,
166,1097,,,,,,,,,,,,,,,Thullukudiyiruppu,,,,,,,Kilinochchi District Hospital,Ampara,,,,,,Faculty of Agriculture,,,Faculty of Agriculture,,
167,1102,,,,,,,,,,,,,,,Nadukkuda Junction,,,,,,,Kilinochchi Water Tank,,,,,,,Iranamadu Junction,,,Iranamadu Junction,Nikawewa Handiya,
168,1110,,,,,,,,,,,,,,,Keeliyan Kudiyiruppu,,,,,,,Karadipork Junction,Timber Cooperation,,,,,,Kilinochchi,,,Kilinochchi,Ethawatunuwewa Maha Vidyalaya,
169,1115,,,,,,,,,,,,,,,Paridipannei,,,,,,,,Ampara Bus Stand,,,,,,Kilinochchi District Hospital,Palayamurugandi Kovil,,Kilinochchi District Hospital,Nikawewa,
170,1122,,,,,,,,,,,,,,,Kaddukarankudiyiruppu,,,,,,,Paranthan,,,,,,,Kilinochchi Water Tank,,,Kilinochchi Water Tank,,
171,1128,,,,,,,,,,,,,,,Talaimannar Village Junction,,,,,,,Umayaanpuram Grama Niladari Office,,,,,,,Karadipork Junction,Kokavil,,Karadipork Junction,Sapaththu Palama,
172,1135,,,,,,,,,,,,,,,Talaimannar Pier,,,,,,,Umayaanpuram Kovil,,,,,,,,,,,Kalyanipura Handiya,
173,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paranthan,Murugandi Kovil,,Paranthan,Ahatugaswewa,
174,1148,,,,,,,,,,,,,,,,,,,,,,Elephant Pass Gamini Kularathne Memorial,,,,,,,Umayaanpuram Grama Niladari Office,Faculty of Agriculture,,Umayaanpuram Grama Niladari Office,Kiri Ibbanwewa Temple,
175,1153,,,,,,,,,,,,,,,,,,,,,,Elephant Pass Army Memorials,,,,,,,Umayaanpuram Kovil,Iranamadu Junction,,Umayaanpuram Kovil,Kiri Ibbanwewa 1,
176,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilinochchi,,,Kiri Ibbanwewa 2,
177,1166,,,,,,,,,,,,,,,,,,,,,,Ayiyakachchi Tamil Madya Vidyalaya,,,,,,,Elephant Pass Gamini Kularathne Memorial,Kilinochchi District Hospital,,Elephant Pass Gamini Kularathne Memorial,Pansal Godella Camp,
178,1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elephant Pass Army Memorials,Kilinochchi Water Tank,,Elephant Pass Army Memorials,Pansal Godella 1,
179,1179,,,,,,,,,,,,,,,,,,,,,,Pudukaadu Junction,,,,,,,,Karadipork Junction,,,Pansal Godella 2,
180,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayiyakachchi Tamil Madya Vidyalaya,,,Ayiyakachchi Tamil Madya Vidyalaya,Pansal Godella 3,
181,1191,,,,,,,,,,,,,,,,,,,,,,Palei,,,,,,,,Paranthan,,,Pansal Godella 4,
182,1199,,,,,,,,,,,,,,,,,,,,,,Palei Marketplace,,,,,,,Pudukaadu Junction,Umayaanpuram Grama Niladari Office,,Pudukaadu Junction,Pansal Godella 5,
183,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Umayaanpuram Kovil,,,Kohombagas Handiya,
184,1012,,,,,,,,,,,,,,,,,,,,,,Muhamalai,,,,,,,Palei,,,Palei,Kohombagas Handiya Gamunu Regement,
185,1217,,,,,,,,,,,,,,,,,,,,,,Muhamalai Stop,,,,,,,Palei Marketplace,Elephant Pass Gamini Kularathne Memorial,,Palei Marketplace,Kohombagas Handiya 2,
186,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elephant Pass Army Memorials,,,Kohombagas Handiya 3,
187,1230,,,,,,,,,,,,,,,,,,,,,,Aasai Pillei Eeththam,,,,,,,Muhamalai,,,Muhamalai,Kohombagas Handiya 4,
188,1235,,,,,,,,,,,,,,,,,,,,,,Miriswill,,,,,,,Muhamalai Stop,Ayiyakachchi Tamil Madya Vidyalaya,,Muhamalai Stop,Nayaru Lagoon 1,
189,1242,,,,,,,,,,,,,,,,,,,,,,Kodikamam Town,,,,,,,,,,,Gurukanda Purana Rajamaha Viharaya,
190,1248,,,,,,,,,,,,,,,,,,,,,,Kodikamam Murugan Kovil,,,,,,,Aasai Pillei Eeththam,Pudukaadu Junction,,Aasai Pillei Eeththam,593 Brigade Headquarters,
191,1255,,,,,,,,,,,,,,,,,,,,,,Puththur,,,,,,,Miriswill,,,Miriswill,x4,
192,1260,,,,,,,,,,,,,,,,,,,,,,Arasadi Junction,,,,,,,Kodikamam Town,Palei,,Kodikamam Town,x5,
193,1268,,,,,,,,,,,,,,,,,,,,,,Chavakachcheri,,,,,,,Kodikamam Murugan Kovil,Palei Marketplace,,,x6,
194,1273,,,,,,,,,,,,,,,,,,,,,,Chavakachcheri Aiiyar Rd,,,,,,,Puththur,,,,Nayaru Lagoon 2,
195,1280,,,,,,,,,,,,,,,,,,,,,,Chavakachcheri Police Station,,,,,,,Arasadi Junction,Muhamalai,,,Mullaitivu,
196,1286,,,,,,,,,,,,,,,,,,,,,,Kaithady Bridge,,,,,,,Chavakachcheri,Muhamalai Stop,,,Alampil Army Camp,
197,1293,,,,,,,,,,,,,,,,,,,,,,Kaithady,,,,,,,Chavakachcheri Aiiyar Rd,,,Thondaimanaru,59 Brigade Headquarters,
198,1299,,,,,,,,,,,,,,,,,,,,,,Navathkuli,,,,,,,Chavakachcheri Police Station,Aasai Pillei Eeththam,,,,
199,1306,,,,,,,,,,,,,,,,,,,,,,Semmani,,,,,,,Kaithady Bridge,Miriswill,,,Silawatta Handiya,
200,1311,,,,,,,,,,,,,,,,,,,,,,Ariyalai Junction,,,,,,,Kaithady,Kodikamam Town,,Nelliady Bus Stand,,
201,1319,,,,,,,,,,,,,,,,,,,,,,Ariyalai,,,,,,,Navathkuli,Kodikamam Murugan Kovil,,,Nandikadal,
202,1324,,,,,,,,,,,,,,,,,,,,,,Jaffna Kachcheri,,,,,,,Semmani,Puththur,,,,
203,1331,,,,,,,,,,,,,,,,,,,,,,Jaffna ,,,,,,,Ariyalai Junction,Arasadi Junction,,Point Pedro,,
204,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ariyalai,Chavakachcheri,,,,
205,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaffna Kachcheri,Chavakachcheri Aiiyar Rd,,,,
206,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaffna ,Chavakachcheri Police Station,,,,
207,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaithady Bridge,,,,
208,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaithady,,,,
209,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navathkuli,,,,
210,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semmani,,,,
211,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ariyalai Junction,,,,
212,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ariyalai,,,,
213,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaffna Kachcheri,,,,
214,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaffna ,,,,
215,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thaddatheru Junction,,,,
216,1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kulappedi Junction,,,,
217,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inuwil Kovil Rd,,,,
218,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maradanmadam Junction,,,,
219,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chunnakam Bus Stand,,,,
220,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mallakam Junction,,,,
221,1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thellippalai Bus Stand,,,,
